RANK,STATE,POPULATION
1,Uttar Pradesh,199581477
2,Maharashtra,112372972
3,Bihar,103804630
4,West Bengal,91347736
5,Madhya Pradesh,72597565
6,Tamil Nadu,72138958
7,Rajasthan,68621012
8,Karnataka,61130704
9,Gujarat,60383628
10,Andhra Pradesh,49665533
11,Odisha,41947358
12,Telangana,35193978
13,Kerala,33387677
14,Jharkhand,32966238
15,Assam,31169272
16,Punjab,27704236
17,Haryana,25753081
18,Chhattisgarh,25540196
19,Jammu and Kashmir,12548926
20,Uttarakhand,10116752
21,Himachal Pradesh,6856509
22,Tripura,3671032
23,Meghalaya,2964007
24,Manipur*Î²*,2721756
25,Nagaland,1980602
26,Goa,1457723
27,Arunachal Pradesh,1382611
28,Mizoram,1091014
29,Sikkim,607688
30,Delhi,16753235
31,Puducherry,1244464
32,Chandigarh,1054686
33,Andaman and Nicobar Islands,379944
34,Dadra and Nagar Haveli,342853
35,Daman and Diu,242911
36,Lakshadweep,64429
